task,demo,selection_family,method_label,source_group,run_root,eval_root,step_dir,round_index,camera,total_videos,camera_videos,num_cameras,success_mean,success_pct,reward_mean,status
lift,5,latest,Step init,ours,/OURS/lift5_24000_demos5/seed28,/OURS/lift5_24000_demos5/seed28/Pi0Jax_eval_videos,/OURS/lift5_24000_demos5/seed28/Pi0Jax_eval_videos/step_init,,all,10,10,2,0.400000,40.00,-74.274000,selected
lift,5,latest,Latest distilled Pi0Jax,ours,/OURS/lift5_24000_demos5/seed28,/OURS/lift5_24000_demos5/seed28/Pi0Jax_eval_videos,/OURS/lift5_24000_demos5/seed28/Pi0Jax_eval_videos/step_round_10,10,all,10,10,2,0.520000,52.00,-67.242000,selected
lift,5,latest,Latest round of SAILOR training,ours,/OURS/lift5_24000_demos5/seed28,/OURS/lift5_24000_demos5/seed28/SAILOR_eval_videos,/OURS/lift5_24000_demos5/seed28/SAILOR_eval_videos/step_round_10,10,all,10,10,2,0.860000,86.00,-53.242000,selected
lift,5,best,Step init,ours,/OURS/lift5_24000_demos5/seed28,/OURS/lift5_24000_demos5/seed28/Pi0Jax_eval_videos,/OURS/lift5_24000_demos5/seed28/Pi0Jax_eval_videos/step_init,,all,10,10,2,0.400000,40.00,-74.274000,selected
lift,5,best,Best distilled Pi0Jax,ours,/OURS/lift5_24000_demos5/seed28,/OURS/lift5_24000_demos5/seed28/Pi0Jax_eval_videos,/OURS/lift5_24000_demos5/seed28/Pi0Jax_eval_videos/step_round_10,10,all,10,10,2,0.520000,52.00,-67.242000,selected
lift,5,best,Best round of SAILOR training,ours,/OURS/lift5_24000_demos5/seed28,/OURS/lift5_24000_demos5/seed28/SAILOR_eval_videos,/OURS/lift5_24000_demos5/seed28/SAILOR_eval_videos/step_round_10,10,all,10,10,2,0.860000,86.00,-53.242000,selected
lift,5,official_vs_ours,DP + SAILOR step_init,official,/OFFICIAL/robomimic__lift/Good_full_run/lift_18h_2cpu_40gb_gpu_16ram_resnetload_demos5/seed0,/OFFICIAL/robomimic__lift/Good_full_run/lift_18h_2cpu_40gb_gpu_16ram_resnetload_demos5/seed0/DP_Distilled_eval_videos,/OFFICIAL/robomimic__lift/Good_full_run/lift_18h_2cpu_40gb_gpu_16ram_resnetload_demos5/seed0/DP_Distilled_eval_videos/step_init,,all,10,10,2,0.540000,54.00,-56.882000,selected
lift,5,official_vs_ours,DP + SAILOR best round,official,/OFFICIAL/robomimic__lift/Good_full_run/lift_18h_2cpu_40gb_gpu_16ram_resnetload_demos5/seed0,/OFFICIAL/robomimic__lift/Good_full_run/lift_18h_2cpu_40gb_gpu_16ram_resnetload_demos5/seed0/SAILOR_eval_videos,/OFFICIAL/robomimic__lift/Good_full_run/lift_18h_2cpu_40gb_gpu_16ram_resnetload_demos5/seed0/SAILOR_eval_videos/step_round_20,20,all,10,10,2,1.000000,100.00,-31.862000,selected
lift,5,official_vs_ours,Pi0droid LoRA + SAILOR step_init,ours,/OURS/lift5_24000_demos5/seed28,/OURS/lift5_24000_demos5/seed28/Pi0Jax_eval_videos,/OURS/lift5_24000_demos5/seed28/Pi0Jax_eval_videos/step_init,,all,10,10,2,0.400000,40.00,-74.274000,selected
lift,5,official_vs_ours,Pi0droid LoRA + SAILOR best round,ours,/OURS/lift5_24000_demos5/seed28,/OURS/lift5_24000_demos5/seed28/SAILOR_eval_videos,/OURS/lift5_24000_demos5/seed28/SAILOR_eval_videos/step_round_10,10,all,10,10,2,0.860000,86.00,-53.242000,selected
