task,task_label,demo_count,run_kind,camera,total_videos,camera_videos,success_mean,success_pct,reward_mean,model_dir,step_dir
lift,Lift,,pi0_droid,0,10,5,0.0,0.0,-97.008,/SAILOR/scratch_dir/rollouts/robomimic__lift/pi0_cached_lift_224_10832482,/SAILOR/scratch_dir/rollouts/robomimic__lift/pi0_cached_lift_224_10832482/pi0_cached_lift_224_10832482/step_pi0_eval
lift,Lift,5,ft_24k,0,10,5,0.48,48.0,-72.124,/SAILOR/scratch_dir/rollouts/robomimic__lift/pi0_ft_lift5_seed123_24000_224_10832487,/SAILOR/scratch_dir/rollouts/robomimic__lift/pi0_ft_lift5_seed123_24000_224_10832487/pi0_ft_lift5_seed123_24000_224_10832487/step_pi0_eval
lift,Lift,10,ft_24k,0,10,5,0.66,66.0,-67.298,/SAILOR/scratch_dir/rollouts/robomimic__lift/pi0_ft_lift10_seed123_24000_224_10832488,/SAILOR/scratch_dir/rollouts/robomimic__lift/pi0_ft_lift10_seed123_24000_224_10832488/pi0_ft_lift10_seed123_24000_224_10832488/step_pi0_eval
lift,Lift,15,ft_24k,0,10,5,0.82,82.0,-64.306,/SAILOR/scratch_dir/rollouts/robomimic__lift/pi0_ft_lift15_seed123_24000_224_10832489,/SAILOR/scratch_dir/rollouts/robomimic__lift/pi0_ft_lift15_seed123_24000_224_10832489/pi0_ft_lift15_seed123_24000_224_10832489/step_pi0_eval
can,Can,,pi0_droid,0,10,5,0.0,0.0,-199.634,/SAILOR/scratch_dir/rollouts/robomimic__can/pi0_cached_can_224_10832631,/SAILOR/scratch_dir/rollouts/robomimic__can/pi0_cached_can_224_10832631/pi0_cached_can_224_10832631/step_pi0_eval
can,Can,5,ft_24k,0,10,5,0.14,14.0,-179.22,/SAILOR/scratch_dir/rollouts/robomimic__can/pi0_ft_can5_seed123_24000_224_10832490,/SAILOR/scratch_dir/rollouts/robomimic__can/pi0_ft_can5_seed123_24000_224_10832490/pi0_ft_can5_seed123_24000_224_10832490/step_pi0_eval
can,Can,10,ft_24k,0,10,5,0.16,16.0,-170.01,/SAILOR/scratch_dir/rollouts/robomimic__can/pi0_ft_can10_seed123_24000_224_10832491,/SAILOR/scratch_dir/rollouts/robomimic__can/pi0_ft_can10_seed123_24000_224_10832491/pi0_ft_can10_seed123_24000_224_10832491/step_pi0_eval
can,Can,15,ft_24k,0,10,5,0.2,20.0,-166.634,/SAILOR/scratch_dir/rollouts/robomimic__can/pi0_ft_can15_seed123_24000_224_10832492,/SAILOR/scratch_dir/rollouts/robomimic__can/pi0_ft_can15_seed123_24000_224_10832492/pi0_ft_can15_seed123_24000_224_10832492/step_pi0_eval
square,Square,,pi0_droid,0,10,5,0.0,0.0,-199.512,/SAILOR/scratch_dir/rollouts/robomimic__square/pi0_cached_square_224_10832632,/SAILOR/scratch_dir/rollouts/robomimic__square/pi0_cached_square_224_10832632/pi0_cached_square_224_10832632/step_pi0_eval
square,Square,50,ft_24k,0,10,5,0.0,0.0,-180.7,/SAILOR/scratch_dir/rollouts/robomimic__square/pi0_ft_square50_seed123_24000_224_10832493,/SAILOR/scratch_dir/rollouts/robomimic__square/pi0_ft_square50_seed123_24000_224_10832493/pi0_ft_square50_seed123_24000_224_10832493/step_pi0_eval
square,Square,75,ft_24k,0,10,5,0.0,0.0,-173.878,/SAILOR/scratch_dir/rollouts/robomimic__square/pi0_ft_square75_seed123_24000_224_10832494,/SAILOR/scratch_dir/rollouts/robomimic__square/pi0_ft_square75_seed123_24000_224_10832494/pi0_ft_square75_seed123_24000_224_10832494/step_pi0_eval
square,Square,100,ft_24k,0,10,5,0.0,0.0,-166.424,/SAILOR/scratch_dir/rollouts/robomimic__square/pi0_ft_square100_seed123_24000_224_10832495,/SAILOR/scratch_dir/rollouts/robomimic__square/pi0_ft_square100_seed123_24000_224_10832495/pi0_ft_square100_seed123_24000_224_10832495/step_pi0_eval
